DATE,OPEN,CLOSE,HIGH,LOW,VOL,AMO,Capital,Fun
20230418,3.94,3.94,4.03,3.92,210909.640625,83861080.000000,40028872.000000,0.000000
20230419,3.94,3.87,3.94,3.85,232383.984375,90391936.000000,40028872.000000,0.000000
20230420,3.86,3.86,3.87,3.81,143083.437500,54939812.000000,40028872.000000,0.000000
20230421,3.85,3.8,3.96,3.79,208960.734375,80623064.000000,40028872.000000,0.000000
20230424,3.77,3.71,3.78,3.68,181992.718750,67695384.000000,40028872.000000,0.000000
20230425,3.69,3.67,3.73,3.61,138473.140625,50897024.000000,40028872.000000,0.000000
20230426,3.64,3.64,3.68,3.57,174312.015625,63364748.000000,40028872.000000,0.000000
20230427,3.64,3.57,3.65,3.55,200595.000000,71865656.000000,40028872.000000,0.000000
20230428,3.58,3.66,3.7,3.57,184399.093750,67330168.000000,40028872.000000,1.000000
20230504,3.72,3.83,3.84,3.7,302058.125000,114355936.000000,40028872.000000,1.000000
20230505,3.8,3.96,3.98,3.8,351282.000000,137369984.000000,40028872.000000,1.000000
20230508,3.96,4,4,3.88,290314.000000,114480568.000000,40028872.000000,1.000000
20230509,3.99,4,4.09,3.96,366685.875000,148000976.000000,40028872.000000,1.000000
20230510,3.99,3.95,4.03,3.91,243327.484375,96475672.000000,40028872.000000,0.000000
20230511,3.95,4,4.04,3.95,231824.093750,92643352.000000,40028872.000000,1.000000
20230512,4.02,3.97,4.12,3.97,255836.000000,103349016.000000,40028872.000000,0.000000
20230515,4,4.02,4.02,3.92,229844.812500,91266328.000000,40028872.000000,1.000000
20230516,4.02,3.97,4.05,3.95,151235.171875,60435636.000000,40028872.000000,0.000000
20230517,3.97,3.98,4.03,3.93,137728.000000,54948252.000000,40028872.000000,1.000000
20230518,4,3.94,4.01,3.91,145919.828125,57672864.000000,40028872.000000,0.000000
20230519,3.95,3.87,3.95,3.85,174889.000000,67956040.000000,40028872.000000,0.000000
20230522,3.89,3.81,3.89,3.78,134994.015625,51455632.000000,40028872.000000,0.000000
20230523,3.81,3.75,3.83,3.74,150573.140625,56870240.000000,40028872.000000,0.000000
20230524,3.72,3.62,3.73,3.62,163279.125000,59721168.000000,40028872.000000,0.000000
20230525,3.61,3.61,3.66,3.56,181325.000000,65263960.000000,40028872.000000,0.000000
20230526,3.61,3.68,3.69,3.59,137470.046875,50083732.000000,40028872.000000,1.000000
20230529,3.66,3.63,3.69,3.6,116074.703125,42174560.000000,40028872.000000,0.000000
20230530,3.6,3.65,3.66,3.55,178214.640625,64151312.000000,40028872.000000,1.000000
20230531,3.63,3.64,3.69,3.62,129001.117188,47080792.000000,40028872.000000,1.000000
20230601,3.63,3.66,3.68,3.59,128149.773438,46726376.000000,40028872.000000,1.000000
20230602,3.68,3.8,3.84,3.64,344606.875000,129530072.000000,40028872.000000,1.000000
20230605,3.77,3.75,3.78,3.72,154522.812500,57825468.000000,40028872.000000,0.000000
20230606,3.75,3.74,3.87,3.73,179367.015625,68004800.000000,40028872.000000,0.000000
20230607,3.75,3.83,3.85,3.74,216657.796875,82670056.000000,40028872.000000,1.000000
20230608,3.83,3.89,3.91,3.8,228038.281250,88335456.000000,40028872.000000,1.000000
20230609,3.88,3.88,3.92,3.85,170763.765625,66255860.000000,40028872.000000,0.000000
20230612,3.89,3.88,3.93,3.81,190381.156250,73823048.000000,40028872.000000,0.000000
20230613,3.87,3.88,3.93,3.86,119640.257812,46486160.000000,40028872.000000,1.000000
20230614,3.91,3.86,3.92,3.84,117532.007812,45535836.000000,40028872.000000,0.000000
20230615,3.86,3.91,3.92,3.83,163144.468750,63401472.000000,40028872.000000,1.000000
20230616,3.91,3.89,3.96,3.87,126973.492188,49665652.000000,40028872.000000,0.000000
20230619,3.89,3.79,3.9,3.78,136595.015625,52163864.000000,40028872.000000,0.000000
20230620,3.8,3.71,3.8,3.69,120785.343750,45042308.000000,40028872.000000,0.000000
20230621,3.7,3.63,3.74,3.62,130979.007812,48055812.000000,40028872.000000,0.000000
20230626,3.61,3.58,3.65,3.57,134207.000000,48325788.000000,40028872.000000,0.000000
20230627,3.59,3.69,3.7,3.56,163697.703125,59712288.000000,40028872.000000,1.000000
20230628,3.68,3.68,3.7,3.62,114437.000000,41834844.000000,40028872.000000,0.000000
20230629,3.7,3.61,3.7,3.6,136035.015625,49329460.000000,40028872.000000,0.000000
20230630,3.63,3.66,3.72,3.61,145163.515625,53331132.000000,40028872.000000,1.000000
20230703,3.67,3.71,3.73,3.67,129362.007812,47902700.000000,40028872.000000,1.000000
20230704,3.71,3.7,3.72,3.67,89545.000000,33060836.000000,40028872.000000,0.000000
20230705,3.69,3.69,3.74,3.66,93464.296875,34604132.000000,40028872.000000,0.000000
20230706,3.69,3.74,3.77,3.67,141785.656250,52788272.000000,40028872.000000,1.000000
20230707,3.73,3.73,3.78,3.71,96236.187500,36063192.000000,40028872.000000,0.000000
20230710,3.75,3.76,3.78,3.71,91081.000000,34175332.000000,40028872.000000,1.000000
20230711,3.8,3.76,3.82,3.75,92273.726562,34794940.000000,40028872.000000,0.000000
20230712,3.76,3.68,3.76,3.67,112127.820312,41592152.000000,40028872.000000,0.000000
20230713,3.7,3.74,3.76,3.68,87199.828125,32408854.000000,40028872.000000,1.000000
20230714,3.74,3.73,3.77,3.71,67234.640625,25084478.000000,40028872.000000,0.000000
20230717,3.71,3.75,3.76,3.67,78495.640625,29204840.000000,40028872.000000,1.000000
20230718,3.75,3.77,3.8,3.7,89832.390625,33679796.000000,40028872.000000,1.000000
20230719,3.77,3.8,3.8,3.75,75366.593750,28539264.000000,40028872.000000,1.000000
20230720,3.81,3.82,3.88,3.78,147623.093750,56560056.000000,40028872.000000,1.000000
20230721,3.82,3.93,3.95,3.81,253540.406250,99109848.000000,40028872.000000,1.000000
20230724,3.95,3.95,3.99,3.87,232659.687500,91614968.000000,40028872.000000,0.000000
20230725,4,4.11,4.14,3.99,319662.093750,130867720.000000,40028872.000000,1.000000
20230726,4.12,4.28,4.3,4.11,492958.843750,208868384.000000,40028872.000000,1.000000
20230727,4.2,4.27,4.33,4.11,427051.843750,182177408.000000,40028872.000000,1.000000
20230728,4.27,4.33,4.37,4.23,283921.531250,122131744.000000,40028872.000000,1.000000
20230731,4.37,4.43,4.51,4.36,375921.718750,167206080.000000,40028872.000000,1.000000
20230801,4.43,4.41,4.5,4.35,332479.843750,147552304.000000,40028872.000000,0.000000
20230802,4.41,4.47,4.55,4.38,332934.437500,149120352.000000,40028872.000000,1.000000
20230803,4.44,4.56,4.57,4.39,367496.437500,165267072.000000,40028872.000000,1.000000
20230804,4.59,4.48,4.6,4.47,276938.468750,124816528.000000,40028872.000000,0.000000
20230807,4.47,4.42,4.47,4.38,268515.406250,118604280.000000,40028872.000000,0.000000
20230808,4.43,4.37,4.44,4.34,181898.359375,79599640.000000,40028872.000000,0.000000
20230809,4.37,4.33,4.42,4.31,155627.812500,67735080.000000,40028872.000000,0.000000
