DATE,OPEN,CLOSE,HIGH,LOW,VOL,AMO,Capital,Fun
20230406,4.21,4.18,4.21,4.15,32524.000000,15213652.000000,16922096.000000,1.000000
20230407,4.24,4.21,4.24,4.18,33757.261719,15872595.000000,16922096.000000,0.000000
20230410,4.22,4.15,4.22,4.14,44713.601562,20849970.000000,16922096.000000,0.000000
20230411,4.18,4.14,4.19,4.11,50339.000000,23350248.000000,16922096.000000,0.000000
20230412,4.16,4.15,4.28,4.13,46486.960938,21697896.000000,16922096.000000,0.000000
20230413,4.17,4.12,4.18,4.11,41299.949219,19135328.000000,16922096.000000,0.000000
20230414,4.16,4.11,4.17,4.09,44474.378906,20582332.000000,16922096.000000,0.000000
20230417,4.11,4.17,4.21,4.11,106549.828125,49700340.000000,16922096.000000,0.000000
20230418,4.2,4.2,4.24,4.15,74177.789062,34866028.000000,16922096.000000,0.000000
20230419,4.24,4.16,4.24,4.11,69300.609375,32324110.000000,16922096.000000,0.000000
20230420,4.17,4.18,4.24,4.12,69408.757812,32407668.000000,16922096.000000,0.000000
20230421,4.22,4.11,4.28,4.11,96251.093750,45179476.000000,16922096.000000,0.000000
20230424,4.1,4.07,4.12,3.95,83177.039062,37783212.000000,16922096.000000,0.000000
20230425,4.08,3.97,4.09,3.94,61056.300781,27475552.000000,16922096.000000,1.000000
20230426,3.97,4.19,4.2,3.95,72891.257812,33889644.000000,16922096.000000,0.000000
20230427,4.19,4.16,4.24,4.11,56007.390625,26145304.000000,16922096.000000,0.000000
20230428,4.18,4.16,4.23,4.08,84808.796875,39372052.000000,16922096.000000,0.000000
20230504,4.15,4.22,4.27,4.13,116319.781250,54970620.000000,16922096.000000,0.000000
20230505,4.28,4.22,4.28,4.14,88027.281250,41409596.000000,16922096.000000,0.000000
20230508,4.23,4.23,4.31,4.21,156748.656250,74279880.000000,16922096.000000,0.000000
20230509,4.23,4.21,4.27,4.19,91889.070312,43463852.000000,16922096.000000,0.000000
20230510,4.19,4.33,4.34,4.19,96186.000000,46045088.000000,16922096.000000,0.000000
20230511,4.38,4.41,4.44,4.27,102932.468750,50167884.000000,16922096.000000,0.000000
20230512,4.36,4.35,4.41,4.32,71585.070312,34744344.000000,16922096.000000,0.000000
20230515,4.37,4.36,4.39,4.3,72414.390625,35104476.000000,16922096.000000,0.000000
20230516,4.34,4.34,4.38,4.31,72378.007812,35054720.000000,16922096.000000,0.000000
20230517,4.36,4.36,4.39,4.31,86848.320312,42205880.000000,16922096.000000,0.000000
20230518,4.4,4.36,4.42,4.33,106948.398438,52098332.000000,16922096.000000,0.000000
20230519,4.37,4.34,4.4,4.27,51705.109375,24967738.000000,16922096.000000,0.000000
20230522,4.34,4.35,4.37,4.31,48585.308594,23508370.000000,16922096.000000,0.000000
