DATE,OPEN,CLOSE,HIGH,LOW,VOL,AMO,Capital,Fun
20210611,5.68,5.71,5.76,5.64,41717.570312,28453466.000000,16922096.000000,1.000000
20210615,5.71,5.61,5.75,5.57,32831.910156,22049956.000000,16922096.000000,1.000000
20210616,5.61,5.56,5.62,5.51,32184.169922,21425114.000000,16922096.000000,0.000000
20210617,5.58,5.52,5.6,5.43,46196.000000,29221560.000000,16922096.000000,0.000000
20210618,5.52,5.72,5.79,5.43,71105.500000,45917976.000000,16922096.000000,1.000000
20210621,5.72,5.72,5.84,5.65,64592.429688,42415596.000000,16922096.000000,1.000000
20210622,5.75,5.63,5.77,5.62,50196.859375,32509038.000000,16922096.000000,0.000000
20210623,5.63,5.64,5.75,5.56,65752.000000,42317164.000000,16922096.000000,1.000000
20210624,5.64,5.78,5.79,5.58,77339.687500,50503200.000000,16922096.000000,1.000000
20210625,5.78,5.61,5.81,5.56,83427.718750,53565116.000000,16922096.000000,1.000000
20210628,5.59,5.67,5.69,5.56,46796.289062,30026408.000000,16922096.000000,1.000000
20210629,5.62,5.55,5.68,5.54,29659.060547,18939778.000000,16922096.000000,1.000000
20210630,5.53,5.57,5.61,5.46,39681.230469,25103954.000000,16922096.000000,1.000000
20210701,5.57,5.53,5.59,5.52,28684.599609,18240508.000000,16922096.000000,1.000000
20210702,5.51,5.46,5.57,5.44,29562.619141,18519812.000000,16922096.000000,0.000000
20210705,5.43,5.47,5.5,5.42,26513.000000,16571954.000000,16922096.000000,1.000000
20210706,5.44,5.42,5.45,5.36,30021.910156,18575890.000000,16922096.000000,1.000000
20210707,5.4,5.44,5.47,5.39,17476.140625,10886191.000000,16922096.000000,1.000000
20210708,5.45,5.38,5.47,5.35,28271.660156,17511964.000000,16922096.000000,1.000000
20210709,5.38,5.7,5.75,5.3,139335.328125,89298088.000000,16922096.000000,1.000000
20210712,5.73,5.77,5.9,5.61,137514.859375,90353016.000000,16922096.000000,1.000000
20210713,5.8,5.77,5.88,5.71,77141.140625,50831900.000000,16922096.000000,1.000000
20210714,5.75,5.55,5.79,5.53,91788.820312,58924760.000000,16922096.000000,0.000000
20210715,5.55,5.45,5.65,5.4,124642.867188,78434792.000000,16922096.000000,0.000000
20210716,5.46,5.34,5.49,5.33,82044.523438,50870312.000000,16922096.000000,0.000000
20210719,5.36,5.27,5.37,5.21,47117.671875,28532656.000000,16922096.000000,0.000000
20210720,5.25,5.23,5.26,5.19,43659.398438,26275026.000000,16922096.000000,0.000000
20210721,5.24,5.29,5.32,5.2,42487.738281,25781314.000000,16922096.000000,1.000000
20210722,5.28,5.3,5.38,5.23,56401.238281,34446212.000000,16922096.000000,1.000000
20210723,5.3,5.3,5.32,5.23,34976.699219,21247722.000000,16922096.000000,1.000000
20210726,5.3,5.02,5.3,5.01,67153.320312,39716040.000000,16922096.000000,0.000000
20210727,5.02,4.89,5.07,4.88,40924.589844,23640394.000000,16922096.000000,0.000000
20210728,4.86,4.83,4.92,4.76,28938.279297,16303935.000000,16922096.000000,0.000000
20210729,4.82,4.8,4.89,4.77,45336.738281,25463946.000000,16922096.000000,0.000000
20210730,4.81,4.62,4.83,4.56,83222.929688,45608380.000000,16922096.000000,0.000000
20210802,4.63,4.73,4.83,4.6,112691.742188,62116152.000000,16922096.000000,1.000000
20210803,4.7,4.68,4.8,4.66,68019.000000,37526604.000000,16922096.000000,1.000000
20210804,4.7,4.66,4.73,4.61,115452.468750,63020416.000000,16922096.000000,0.000000
20210805,4.68,4.72,4.84,4.62,143224.375000,79374216.000000,16922096.000000,1.000000
20210806,4.75,4.66,4.76,4.61,80554.203125,43890156.000000,16922096.000000,1.000000
20210809,4.63,4.72,4.75,4.6,79660.242188,43722256.000000,16922096.000000,1.000000
20210810,4.74,4.8,4.82,4.69,112113.882812,62236640.000000,16922096.000000,1.000000
20210811,4.8,5,5.01,4.77,139121.546875,79093744.000000,16922096.000000,1.000000
20210812,5,5.36,5.38,4.93,244101.765625,146566816.000000,16922096.000000,1.000000
20210813,5.28,5.56,5.6,5.23,221010.812500,137921040.000000,16922096.000000,1.000000
